kstar_1,kstar_2,mass_1,mass_2,porb,ecc,metallicity,tphysf,mass0_1,mass0_2,rad_1,rad_2,lum_1,lum_2,massc_1,massc_2,radc_1,radc_2,menv_1,menv_2,renv_1,renv_2,omega_spin_1,omega_spin_2,B_1,B_2,bacc_1,bacc_2,tacc_1,tacc_2,epoch_1,epoch_2,tms_1,tms_2,bhspin_1,bhspin_2,tphys,binfrac
0.0,0.0,0.48030660143481924,0.35100770225136013,12595.543231304368,0.34498516810306995,0.0002,13700.0,0.48030660143481924,0.35100770225136013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31411915097494
0.0,0.0,0.5083517563029286,0.4373098841064477,140764.54931772957,0.6854801541721226,0.0002,13700.0,0.5083517563029286,0.4373098841064477,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3240644555060954
1.0,0.0,0.8948615750892829,0.47412737897958,948871.7342738151,0.8442009318296306,0.0002,13700.0,0.8948615750892829,0.47412737897958,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.40487390357660036
0.0,0.0,0.14535777060583915,0.14414159950434308,6187.336058714757,0.6607053928283272,0.0002,13700.0,0.14535777060583915,0.14414159950434308,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10465476286491661
1.0,1.0,3.9841303366586005,1.2904350663974733,15073.788875839777,0.48096590896319297,0.0002,13700.0,3.9841303366586005,1.2904350663974733,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6397537383578482
0.0,0.0,0.5872627863164138,0.5646378644127908,15.842854987303394,0.317494147315833,0.0002,13700.0,0.5872627863164138,0.5646378644127908,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3493529248687574
0.0,0.0,0.573786062395737,0.5686748698557268,150009.25435585203,0.7092528296094299,0.0002,13700.0,0.573786062395737,0.5686748698557268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.34528434074127934
0.0,0.0,0.2979670875746267,0.23058777285249143,743.3745142408698,0.31765465135482923,0.0002,13700.0,0.2979670875746267,0.23058777285249143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23044713514751522
0.0,0.0,0.1753460994894398,0.13669905321539785,9347609.024537342,0.49208981067735114,0.0002,13700.0,0.1753460994894398,0.13669905321539785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13752543802032557
0.0,0.0,0.2212971807555399,0.12250511410893607,113.89056772400544,0.7863125130049919,0.0002,13700.0,0.2212971807555399,0.12250511410893607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1783141414602266
0.0,0.0,0.08684920645980945,0.08684574725456094,22.710467482650515,0.7137490715191812,0.0002,13700.0,0.08684920645980945,0.08684574725456094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014396276950398716
0.0,0.0,0.27470584673360093,0.2632528778406935,635578.1166542587,0.22594203558504336,0.0002,13700.0,0.27470584673360093,0.2632528778406935,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2162023733593064
0.0,0.0,0.20168618697031462,0.1690401480766383,66097.42911054961,0.1474022494338788,0.0002,13700.0,0.20168618697031462,0.1690401480766383,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16205199979553783
0.0,0.0,0.3443557268481745,0.10658096468451732,41838.4295840469,0.7072517128846213,0.0002,13700.0,0.3443557268481745,0.10658096468451732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25580455199357616
